y x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13
0.0668818116 0 1 -0.4918 -0.4996 0.5013 0.4982 0.4943 0.0030269052 0.1063305693 0.0707698132 0.036013249 0.1216010587 0.099148369
-0.013482289 0 1 0.5082 -0.4996 -0.4987 -0.5018 0.4943 0.0502665015 -0.058020226 -0.038212508 -0.099588846 -0.178205768 0.062131067
0.0460311402 0 1 0.5082 0.5004 0.5013 -0.5018 -0.5057 -0.123638856 -0.130211701 -0.025113528 0.1734196653 -0.032375415 0.053796794
-0.000277927 0 0 0.5082 -0.4996 0.5013 -0.5018 -0.5057 0.0358529186 0.0886182286 0.1502699279 0.1086939248 -0.044445123 0.0152316135
0.0044183853 0 1 0.5082 -0.4996 0.5013 0.4982 0.4943 0.0530018606 -0.264187731 -0.042954161 0.2194814887 -0.065146808 -0.146204159
-0.02096061 1 0 0.5082 -0.4996 -0.4987 -0.5018 0.4943 0.2248062315 0.1595546578 0.0587458906 -0.040356499 -0.086150871 -0.063912809
-0.014062189 1 1 0.5082 0.5004 0.5013 0.4982 -0.5057 -0.092079911 0.1829785506 0.0114571418 -0.047266694 -0.123185603 -0.017852042
0.0108658931 0 0 0.5082 -0.4996 0.5013 -0.5018 -0.5057 -0.097523776 -0.082045309 0.0074654473 -0.051384013 0.0227679069 0.2314282617
0.0444188355 0 1 -0.4918 0.5004 -0.4987 0.4982 -0.5057 0.099969512 -0.00493593 -0.05623083 0.1220079493 -0.016113869 -0.013370735
-0.010237096 1 1 0.5082 0.5004 0.5013 0.4982 0.4943 0.1437762217 0.1148409284 0.0171604922 -0.015048154 0.0924415351 0.0638486081
-0.046360243 0 0 0.5082 -0.4996 0.5013 0.4982 -0.5057 0.0936705549 -0.087238313 -0.270640832 0.1618519093 -0.188068373 -0.042842766
0.0467657212 0 1 -0.4918 0.5004 0.5013 -0.5018 -0.5057 0.0313876597 0.0843618759 -0.000282734 0.0436682438 -0.054675281 0.1249300513
-0.039997303 0 0 -0.4918 0.5004 0.5013 -0.5018 0.4943 -0.063098526 -0.087500371 -0.098522459 0.0233600392 -0.062472236 0.0424419392
0.0156274846 0 0 0.5082 0.5004 0.5013 0.4982 -0.5057 0.0461927664 0.0201317491 0.1444551204 0.1940942148 -0.068189143 0.1423744359
0.0394188415 0 1 0.5082 -0.4996 0.5013 -0.5018 0.4943 -0.027402527 -0.040315326 0.1954753182 -0.140406341 0.0212047721 0.025859685
0.0575239429 0 1 -0.4918 -0.4996 0.5013 -0.5018 -0.5057 0.0012630466 -0.145821157 0.1714042288 0.0648908179 0.0131752738 0.034172971
-0.012753354 1 0 -0.4918 0.5004 0.5013 -0.5018 0.4943 0.2138768834 0.0385771412 -0.347566978 -0.318855265 0.1160389191 0.0829973222
-0.026439703 1 0 -0.4918 -0.4996 -0.4987 0.4982 -0.5057 -0.066294399 -0.031427546 0.2982524409 -0.263759194 0.0748649941 0.0232875286
-0.025990377 1 0 0.5082 0.5004 0.5013 -0.5018 0.4943 -0.011916957 0.0322986002 0.1307795661 0.128448407 -0.104972507 0.0371587045
-0.045670377 1 0 -0.4918 0.5004 -0.4987 0.4982 0.4943 0.1571007829 0.1290914408 0.0982838345 -0.060977638 0.0293168322 -0.108541249
-0.034854151 0 0 -0.4918 0.5004 -0.4987 0.4982 0.4943 -0.021294913 -0.14782609 -0.210418749 -0.058965596 0.0269702495 0.047031293
0.0847783168 1 0 0.5082 0.5004 0.5013 -0.5018 -0.5057 -0.181829771 -0.279984723 -0.012227343 0.0052181682 -0.00744922 0.2388031309
-0.005368892 0 0 0.5082 0.5004 0.5013 0.4982 -0.5057 -0.20048616 0.1277677121 -0.03555558 -0.092522957 -0.162344897 -0.054643192
-0.05919534 1 0 -0.4918 -0.4996 0.5013 -0.5018 -0.5057 0.0968778005 -0.029690755 0.0331040383 0.1002106938 -0.195753713 -0.185006282
-0.004305547 1 1 0.5082 0.5004 0.5013 0.4982 0.4943 -0.00592911 -0.256399551 -0.278973432 -0.203914962 -0.183074358 0.0350635971
-0.021454702 1 1 -0.4918 -0.4996 0.5013 -0.5018 0.4943 -0.115822175 -0.055635302 -0.11446451 -0.066642561 -0.139278528 0.1279932892
0.0029122604 1 0 0.5082 -0.4996 -0.4987 0.4982 -0.5057 -0.046714029 -0.180910713 0.1359503587 0.0210524945 -0.270218858 -0.193329545
-0.020304639 1 0 0.5082 0.5004 0.5013 -0.5018 -0.5057 -0.16297411 0.1020514939 -0.003850779 0.0711370266 -0.060301215 0.0091646927
-0.006377822 0 0 0.5082 -0.4996 -0.4987 0.4982 -0.5057 -0.055339046 -0.046763834 -0.177462864 0.0229838656 0.3240835246 0.0972725662
-0.02648965 0 0 -0.4918 -0.4996 -0.4987 -0.5018 0.4943 0.1316850883 -0.081319825 -0.059164727 -0.105051545 0.1125026799 0.0530524701
-0.045167813 0 0 0.5082 0.5004 0.5013 -0.5018 0.4943 -0.101984639 -0.043311889 0.0035778481 -0.053486948 -0.210211863 0.1001563667
0.0009944393 0 0 -0.4918 -0.4996 -0.4987 -0.5018 0.4943 -0.066355448 0.0755893081 0.0603873862 0.0634043133 -0.152816751 -0.055532128
-0.012885608 1 0 0.5082 0.5004 0.5013 -0.5018 -0.5057 0.0333802938 -0.123105917 0.17333875 0.1359046331 -0.030693058 0.0596715321
0.0085119669 1 0 -0.4918 -0.4996 -0.4987 0.4982 -0.5057 -0.157421291 0.0687017213 0.1160689702 -0.223514386 -0.010350689 0.1144953105
-0.019101513 0 1 -0.4918 -0.4996 -0.4987 -0.5018 0.4943 -0.114425588 -0.044071331 0.0614434617 0.0850214383 -0.113850992 0.1509243436
-0.01833368 1 0 0.5082 0.5004 -0.4987 -0.5018 -0.5057 0.0301841557 0.0643677033 0.0737699682 -0.083639243 -0.15090338 0.0865238013
-0.032780351 1 0 0.5082 -0.4996 0.5013 0.4982 0.4943 -0.038620693 0.1117818658 -0.050670476 0.1618017764 -0.215849615 -0.020114547
-0.029720923 1 0 -0.4918 0.5004 -0.4987 0.4982 -0.5057 0.1409662361 -0.000723296 0.0587235242 0.0884159015 -0.195513548 0.0996008113
-0.019324906 1 0 -0.4918 -0.4996 0.5013 0.4982 0.4943 -0.02637577 0.1521428459 -0.071263134 0.0598812719 0.0405615534 -0.094281261
